nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Administración de los Sistemas,Maestría en Ingeniería,1429,R 31,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Administración de los Sistemas,Maestría en Ingeniería,1429,R 31,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Administración de los Sistemas,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1430,R 31,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Administración de los Sistemas,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1430,R 31,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Especialidad en Logística Internacional,1431,NR 02,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Especialidad en Logística Internacional,1431,NR 02,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Maestría en Ingeniería,1432,NR 02,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Maestría en Ingeniería,1432,NR 02,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1433,NR 02,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Comercio electrónico y estánda,Maestria en Ingeniería y Gestión de la Cadena de Suministro,1433,NR 02,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1434,V_LAB_COM1,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Materiales y Procesos para la,Especialidad en Ingeniería y Gestión Ambiental,1436,NR 01,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Materiales y Procesos para la,Especialidad en Ingeniería y Gestión Ambiental,1436,NR 01,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
Procesadores Gráficos y Aplica,Maestría en Ingeniería,1438,V_LAB_ADIG,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
