"no_clase","nombre_modulo","dia","fecha","hora_inicio","hora_fin","programa","num_servicios","salon","escuela"
"11614","Financiamiento del delito y su","Viernes","2023-01-20","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-27","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2023-01-28","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Sábado","2023-05-13","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Viernes","2023-05-12","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Sábado","2023-05-20","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Viernes","2023-05-19","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Viernes","2023-05-12","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Viernes","2023-05-19","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Sábado","2023-05-13","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Sábado","2023-05-20","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Viernes","2023-05-26","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11608","Políticas Públicas y combate a","Sábado","2023-05-27","09:00:00","14:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"1441","Selección de Materiales para","Lunes","2023-01-16","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Pedagogía"
"1441","Selección de Materiales para","Martes","2023-03-21","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Pedagogía"
"1584","Temas Selec de Hist. Ideas III","Lunes","2023-05-29","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1584","Temas Selec de Hist. Ideas III","Miercoles","2023-05-17","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1584","Temas Selec de Hist. Ideas III","Lunes","2023-05-22","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
