 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1582,,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,R 08,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1583,,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1585,,2023-01-12,2023-05-11,Viernes,19:00:00 ,22:00:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1586,,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,JEREZ 01,2023-01-09,2023-01-13,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,JEREZ 01,2023-01-09,2023-01-13,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,JEREZ 01,2023-01-09,2023-01-13,Viernes,7:00:00 ,9:30:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,JEREZ 01,2023-01-16,2023-01-18,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,JEREZ 01,2023-01-16,2023-01-18,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,,2023-01-14,2023-01-14,Sábado,9:00:00 ,12:00:00 
Temas Avanzados de Estrategia,Doctorado en Ciencias Empresariales,1176,R 09,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-3,2023-02-02,2023-02-02,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-3,2023-02-09,2023-02-09,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-03-02,2023-03-02,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-04-13,2023-04-13,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-03-30,2023-03-30,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-03-06,2023-03-06,Lunes,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-03-23,2023-03-23,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-04-27,2023-04-27,Jueves,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-02-06,2023-02-06,Lunes,18:00:00 ,20:00:00 
Administración de Riesgos,Maestría Internacional en Finanzas,1010,SF_6-4,2023-03-09,2023-03-09,Jueves,18:00:00 ,20:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-03-09,2023-03-09,Jueves,20:00:00 ,22:00:00 
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,SF_6-3,2023-04-20,2023-04-20,Jueves,18:00:00 ,20:00:00 
