nombre_modulo,programa,no_clase,salon,Campus,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
"Persona, Organización y Cultur",Maestría en Dirección del Capital Humano,1376,R 21,Mixcoac,2023-02-11,2023-02-11,Sábado,8:00:00 ,11:00:00 
Relaciones Laborales y Segurid,Maestría en Dirección del Capital Humano,1365,R 44,Mixcoac,2023-05-27,2023-06-24,Sábado,8:00:00 ,14:00:00 
Relaciones Laborales y Segurid,Maestría en Dirección del Capital Humano,1365,R 44,Mixcoac,2023-05-20,2023-05-20,Sábado,11:00:00 ,14:00:00 
Control Integral del Talento H,Maestría en Dirección del Capital Humano,1369,R 44,Mixcoac,2023-02-11,2023-02-11,Sábado,11:00:00 ,14:00:00 
Control Integral del Talento H,Maestría en Dirección del Capital Humano,1369,R 44,Mixcoac,2023-02-18,2023-03-25,Sábado,8:00:00 ,14:00:00 
Gestión del Cambio,Maestría en Dirección del Capital Humano,1371,R 21,Mixcoac,2023-05-20,2023-05-20,Sábado,8:00:00 ,11:00:00 
Gestión del Cambio,Maestría en Dirección del Capital Humano,1371,R 21,Mixcoac,2023-04-15,2023-05-13,Sábado,8:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Dirección del Capital Humano,1377,R 21,Mixcoac,2023-02-11,2023-02-11,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Dirección del Capital Humano,1377,R 21,Mixcoac,2023-02-18,2023-03-25,Sábado,8:00:00 ,14:00:00 
Evaluación del Capital Humano,Maestría en Dirección del Capital Humano,1361,R 01,Mixcoac,2023-02-11,2023-02-11,Sábado,11:00:00 ,14:00:00 
Evaluación del Capital Humano,Maestría en Dirección del Capital Humano,1361,R 01,Mixcoac,2023-02-18,2023-03-25,Sábado,8:00:00 ,14:00:00 
Competencias Directivas y de L,Maestría en Dirección del Capital Humano,1368,R 44,Mixcoac,2023-02-11,2023-02-11,Sábado,8:00:00 ,11:00:00 
Competencias Directivas y de L,Maestría en Dirección del Capital Humano,1368,R 44,Mixcoac,2023-01-07,2023-02-04,Sábado,8:00:00 ,14:00:00 
Formación del Talento Humano,Maestría en Dirección del Capital Humano,1387,R 06,Mixcoac,2023-05-20,2023-05-20,Sábado,11:00:00 ,14:00:00 
Formación del Talento Humano,Maestría en Dirección del Capital Humano,1387,R 06,Mixcoac,2023-05-27,2023-06-24,Sábado,8:00:00 ,14:00:00 
"Atracción, Retención y Desarro",Maestría en Dirección del Capital Humano,1362,R 44,Mixcoac,2023-04-15,2023-05-13,Sábado,8:00:00 ,14:00:00 
"Atracción, Retención y Desarro",Maestría en Dirección del Capital Humano,1362,R 44,Mixcoac,2023-05-20,2023-05-20,Sábado,8:00:00 ,11:00:00 
Formación por competencias,Especialidad en Desarrollo del Talento Humano,1441,R 20,Mixcoac,2022-11-26,2022-12-10,Sábado,8:00:00 ,14:00:00 
Formación por competencias,Especialidad en Desarrollo del Talento Humano,1441,R 20,Mixcoac,2023-01-07,2023-01-14,Sábado,8:00:00 ,14:00:00 
