nombre_modulo,programa,no_clase,no_alumnos
Análisis de Grandes Volúmenes,Especialidad en Robótica y Manufactura,1534,4
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1535,4
Diseño y venta de propuestas,Maestría en Ciencia de Datos,1536,3
Diseño y venta de propuestas,Especialidad en Dirección de Operaciones,1537,3
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión Ambiental,1538,3
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión de Proyectos,1539,3
Diseño y venta de propuestas,Especialidad en Logística Internacional,1540,3
Diseño y venta de propuestas,Especialidad en Robótica y Manufactura,1541,3
Diseño y venta de propuestas,Especialidad en Simuladores Gráficos,1542,3
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1543,30
"Ejecución, control y cierre op",Maestría en Ingeniería,1544,3
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1545,30
"Ejecución, control y cierre op",Maestría en Ingeniería,1546,3
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1548,20
"Ejecución, medición y control",Maestría en Ingeniería y Gestión de la Cadena de Suministro,1549,3
"Ejecución, medición y control",Maestría en Ingeniería,1550,3
"Ejecución, control y cierre op",Especialidad en Ingeniería y Gestión de Proyectos,1551,30
"Ejecución, control y cierre op",Maestría en Ingeniería,1552,3
"Ejecución, medición y control",Especialidad en Dirección de Operaciones,1553,20
"Ejecución, medición y control",Maestría en Ingeniería y Gestión de la Cadena de Suministro,1554,3
"Ejecución, medición y control",Maestría en Ingeniería,1555,3
Optimización de la Cadena de S,Especialidad en Logística Internacional,1556,20
Optimización de la Cadena de S,Maestría en Ingeniería,1558,3
Optimización de la Cadena de S,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1559,3
Reconocimiento de Señales,Maestría en Ingeniería,1560,3
Reconocimiento de Señales,Especialidad en Simuladores Gráficos,1561,20
Robótica y Programación Indus,Maestría en Ingeniería,1564,3
Robótica y Programación Indust,Especialidad en Robótica y Manufactura,1565,7
Tendencias tecnológicas para,Especialidad en Ingeniería y Gestión Ambiental,1566,30
Tendencias tecnológicas para,Maestría en Ingeniería,1567,3
Administración de recursos hum,Especialidad en Dirección de Operaciones,1568,15
Curso de preparación para Cert,Especialidad en Ingeniería y Gestión de Proyectos,1569,15
Dirección estratégica disrupti,Especialidad en Dirección de Operaciones,1570,8
Dirección estratégica disrupti,Especialidad en Ingeniería y Gestión de Proyectos,1571,8
Dirección estratégica disrupti,Especialidad en Logística Internacional,1572,8
