nombre_modulo,programa,no_clase,no_alumnos
Seminario de Temas de Fiscali,Maestría en Derecho Fiscal,1298,25
Seminario de Temas Tributarios,Maestría en Derecho Fiscal,2698,25
Seminario de Investigación y T,Maestría en Derecho Procesal Constitucional,1325,20
Interpretación y Argumentación,Maestría en Derecho Procesal Constitucional,1323,20
Fundamentos de Derecho Procesa,Maestría en Derecho Procesal Constitucional,1322,20
Fundamentos Constitucionales,Maestría en Derecho Procesal Constitucional,1324,20
Der Procesal Constitu. Local,Maestría en Derecho Procesal Constitucional,1573,20
Der Procesal Constitu Transna,Maestría en Derecho Procesal Constitucional,1576,20
Sem. Tem Selec Procesal Const,Maestría en Derecho Procesal Constitucional,1575,20
Procesos Constitucionales,Maestría en Derecho Procesal Constitucional,1578,20
Der. Procesal Consti Electoral,Maestría en Derecho Procesal Constitucional,1643,20
Protección no Jurisdiccional,Maestría en Derecho Procesal Constitucional,1644,20
Las Sentencias Constitucionale,Maestría en Derecho Procesal Constitucional,1645,20
Sem. T Selec Jueces y Derechos,Maestría en Derecho Procesal Constitucional,1646,20
Seminario de Investigación I,Doctorado en Derecho,1233,15
Seminario de Investigación II,Doctorado en Derecho,1234,15
Seminario de Investigación III,Doctorado en Derecho,1235,15
Seminario de Investigación IV,Doctorado en Derecho,1547,15
Seminario de Investigación V,Doctorado en Derecho,1557,15
Seminario de Tesis,Doctorado en Derecho,1562,15
