No. de clase,Fecha de inicio del módulo,salon,Fecha de fin del módulo,Hora de inicio,Hora de fin,Lu,Ma,Mi,Ju,Vi,Sa
001088,24/02/2023,NR 07,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001086,10/02/2023,NR 06,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001086,04/03/2023,NR 06,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001086,21/01/2023,NR 06,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001086,03/03/2023,NR 06,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001086,11/02/2023,NR 06,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001086,25/03/2023,NR 06,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001097,06/05/2023,NR 07,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001097,21/04/2023,NR 07,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001097,22/04/2023,NR 07,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001100,06/05/2023,NR 07,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001100,19/05/2023,NR 07,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001100,22/04/2023,NR 07,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001100,20/05/2023,NR 07,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001081,21/01/2023,NR 06,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001081,25/02/2023,NR 06,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001081,20/01/2023,NR 06,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001081,11/02/2023,NR 06,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001081,25/03/2023,NR 06,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001081,24/02/2023,NR 06,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001096,06/05/2023,NR 08,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001096,22/04/2023,NR 08,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001096,20/05/2023,NR 08,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001096,19/05/2023,NR 08,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001093,21/04/2023,NR 08,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001093,22/04/2023,NR 08,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001093,06/05/2023,NR 08,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001225,21/01/2023,NR 02,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001225,25/02/2023,NR 02,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001225,11/02/2023,NR 02,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001225,25/03/2023,NR 02,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001225,24/02/2023,NR 02,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001225,20/01/2023,NR 02,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001226,20/01/2023,NR 03,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001226,24/02/2023,NR 03,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001226,25/02/2023,NR 03,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001226,11/02/2023,NR 03,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
