"no_clase","nombre_modulo","fecha","dia","hora_inicio","hora_fin","programa","num_servicios","salon","isla","sede","escuela"
"1257","Funcionalidad auditiva para ha","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-04-18","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-04-25","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-01-24","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-01-31","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1441","Selección de Materiales para","2022-11-26","Sábado","08:00:00","14:00:00","Especialidad en Desarrollo del Talento Humano",8,"R 20","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
